id,created_at,name,profiles,category,description
70000501,2025-12-08 15:27:11.687961+00,מפתח Full Stack,,טכנולגיה,"פיתוח מערכות WEB מורכבות מקצה לקצה (Client & Server), עבודה בצוותי Agile וכתיבת קוד נקי וניתן לתחזוקה."
70000502,2025-12-08 15:27:11.687961+00,Data Analyst,,טכנולגיה,"איסוף, ניתוח והצגה של נתונים עסקיים לצורך קבלת החלטות אסטרטגיות. בניית דשבורדים למנהלים."
70000503,2025-12-08 15:27:11.687961+00,PMO טכנולוגי,,טכנולגיה,"ניהול ובקרה על פרויקטי פיתוח, מעקב אחר לו""ז, תקציב ומשאבים, וניהול סיכונים בפרויקט."
70000504,2025-12-08 15:27:11.687961+00,רכזת גיוס טכנולוגי,,משאבי אנוש,"ניהול תהליכי גיוס מקצה לקצה למשרות טכנולוגיות, סינון קו""ח, ראיונות עומק וליווי מועמדים."
70000505,2025-12-08 15:27:11.687961+00,כלכלן תקציב ובקרה,,כספים,"בניית תקציב שנתי, מעקב חודשי אחר ביצוע מול תכנון, ניתוח רווחיות פרויקטים והכנת דוחות להנהלה."
70000506,2025-12-08 15:27:11.687961+00,מנהל שיווק דיגיטלי,,שיווק,"ניהול קמפיינים ממומנים (PPC) וקידום אורגני (SEO), ניהול רשתות חברתיות ויצירת לידים."
70000507,2025-12-08 15:27:11.687961+00,איש System / IT,,תמיכה טכנית,"תמיכה במשתמשי הארגון, תחזוקת שרתים, ניהול הרשאות, וטיפול בתקלות חומרה ותוכנה."
70000508,2025-12-08 15:27:11.687961+00,מיישם סייבר,,טכנולגיה,"ניטור אירועי אבטחה, תגובה לאירועי סייבר, הקשחת מערכות וביצוע סקרי סיכונים."
70000509,2025-12-08 15:27:11.687961+00,מנהל מחסן ממוחשב,,לוגיסטיקה,"ניהול מלאי המחסן, קליטת סחורה, ניהול צוות מחסנאים והכנת הזמנות למשלוח."
70000510,2025-12-08 15:27:11.687961+00,קניין רכש טכני,,רכש,"איתור ספקים, ניהול מו""מ, הוזלת עלויות רכש והנפקת הזמנות רכש בהתאם לדרישות ההנדסה."
70000511,2025-12-08 15:27:11.687961+00,מהנדס מכונות,,הנדסה,"תכנון מכני של חלקים ומכלולים, ליווי הייצור וההרכבה, וביצוע אנליזות חוזק."
70000512,2025-12-08 15:27:11.687961+00,מהנדס חשמל ובקרה,,הנדסה,"תכנון לוחות חשמל ובקרה, תכנות בקרים מתוכנתים (PLC) וליווי פרויקטים בתעשייה."
70000513,2025-12-08 15:27:11.687961+00,מנהל תיקי לקוחות,,מכירות,"שימור והגדלת פעילות מול לקוחות עסקיים קיימים, גיוס לקוחות חדשים ועמידה ביעדי מכירות."
70000514,2025-12-08 15:27:11.687961+00,מנהלת משרד ועוזרת אישית,,אדמיניסטרציה,"ניהול יומנים מורכבים, תיאום פגישות, אירוח, מענה טלפוני וטיפול ברווחת העובדים."
70000515,2025-12-08 15:27:11.687961+00,"עו""ד ומזכיר חברה",,משפטי,"ליווי משפטי שוטף לחברה, ניסוח חוזים מסחריים, דיני עבודה וטיפול בממשל תאגידי."
70000516,2025-12-08 15:27:11.687961+00,בודק תוכנה ידני/אוטומציה,,QA,"כתיבת תסריטי בדיקה (STP/STD), הרצת בדיקות, איתור באגים ותיעודם במערכת."
70000517,2025-12-08 15:27:11.687961+00,חשב שכר בכיר,,הנהלת חשבונות,"הכנת משכורות לעובדים, טיפול בדיני עבודה, הפרשות סוציאליות ודיווחים לרשויות."
70000518,2025-12-08 15:27:11.687961+00,"מהנדס או""ש (שיטות)",,הנדסת תעשייה,"מדידת זמני תקן, חקר עבודה, שיפור תהליכים בקווי ייצור והובלת תהליכי Lean."
70000519,2025-12-08 15:27:11.687961+00,מעצב UX/UI,,עיצוב,"אפיון ועיצוב ממשקי משתמש למערכות ואפליקציות, יצירת Wireframes ו-Prototypes."
70000520,2025-12-08 15:27:11.687961+00,מנהל צוות שירות,,שירות לקוחות,"ניהול מוקד שירות לקוחות, חניכת נציגים, עמידה ביעדי SLA וטיפול בלקוחות מורכבים."
