position,sub1,sub2,sub3
Full Stack Developer,Python + Angular Developer,.NET Core + React Developer,Java + VanillaJS Developer
Data Analyst,BI Analyst (Power BI + SQL),Research Analyst (Python + ML Basics),Operations Analyst (KPI dashboards)
Tech PMO,R&D PMO – timelines & bottlenecks,"Agile PMO – Jira, Scrum",Product PMO – version control
Tech Recruiter,"R&D Recruiter – Full Stack, Backend","Cyber Recruiter – SOC, DFIR",Data Recruiting Specialist
Budget & Control Economist,FP&A Economist – forecasts & models,Budget Control Analyst – monthly tracking,Cost Accountant – product pricing
Digital Marketing Manager,Performance PPC Manager,Growth Marketer – CRO & Funnels,Social Media & Community Lead
System/IT Specialist,Windows/AD/Exchange Specialist,Linux + Networking Engineer,Tier2/3 IT Support Specialist
Cyber Implementer,Network Security Implementer,Cloud Security Implementer (AWS/GCP),SIEM/SOAR Implementer (Splunk/Sentinel)
Warehouse Manager (WMS),WMS Warehouse Operations Lead,E‑commerce Logistics Manager,Inventory & Supply Chain Lead
Technical Buyer,IT Procurement Specialist,Engineering Procurement Specialist,Services Procurement Lead
Mechanical Engineer,Mechanical Design Engineer – SolidWorks,Manufacturing Engineer – production lines,Project Engineer – materials & integration
Electrical & Control Engineer,PLC Control Engineer – Siemens/AB,High Voltage Electrical Engineer,Embedded RT Control Engineer
Account Manager,Enterprise Account Manager,SaaS Account Manager,SMB Account Manager
Office Manager / PA,Executive PA – CEO Support,Office Operations Manager,HR Admin & Employee Experience
Corporate Lawyer & Secretary,Corporate Secretary – Governance & Boards,Commercial Lawyer – Contracts,Labor Law Attorney – HR Support
QA Tester Manual/Automation,Manual QA – Functional & UAT,Automation QA – Selenium/Cypress,Product QA – customer experience
Senior Payroll Accountant,Private Sector Payroll Expert,Public Sector Payroll Specialist,Tech Payroll & HRIS Specialist
Industrial Engineering / Methods Engineer,Process Analyst – BPMN Mapping,Continuous Improvement Project Lead,Industrial Engineer – production optimization
UX/UI Designer,UX Research Specialist,UI Designer – Design System,Product Designer – E2E flows
Customer Service Team Lead,Call Center Team Lead – SLA Focus,Technical Support Team Lead,Customer Experience Leader (VoC)
